"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"Ppp1r182",3.37704308411434e-16,0.110915903706174,1,0.754,1.21066994565499e-12,"19","Ppp1r18",0.246,0.189351252217354
"S100a85",3.57981183565534e-16,1.55050900063523,1,1,1.28336254308244e-12,"19","S100a8",0,0
"Gda2",4.56504282029616e-16,0.196463160008036,1,0.595,1.63656785107617e-12,"19","Gda",0.405,0.326443576009855
"Lgals34",5.05424266920756e-16,0.453816092802461,1,0.781,1.81194599691091e-12,"19","Lgals3",0.219,0.167312483560468
"Cd526",5.47968480664794e-16,0.645788146130801,1,0.984,1.96446700318328e-12,"19","Cd52",0.016,0.0115879742752118
"S100a96",5.96911071406501e-16,1.58111569782917,1,1,2.13992619099231e-12,"19","S100a9",0,0
"Myo1f1",6.3322547324897e-16,0.122362029129777,1,0.526,2.27011332159756e-12,"19","Myo1f",0.474,0.390245037827556
"Pglyrp16",7.05407826298166e-16,0.690855189789242,1,0.922,2.52888705727892e-12,"19","Pglyrp1",0.078,0.0573916638883365
"Zfp362",9.83012544214952e-16,0.306784332318354,1,0.93,3.5240999710106e-12,"19","Zfp36",0.07,0.0513991525066441
"Lyz25",1.24090260439185e-15,1.24790425503991,1,0.997,4.44863583674478e-12,"19","Lyz2",0.003,0.00216566721811454
"Mcemp12",1.35701340287018e-15,0.142853267079482,1,0.374,4.8648930492896e-12,"19","Mcemp1",0.626,0.541617995843987
"Lcn25",3.19340208080283e-15,1.12174630334544,1,0.982,1.14483464596782e-11,"19","Lcn2",0.018,0.0130430374755988
"Ncf15",3.89260073811085e-15,0.232762113265709,1,0.7,1.39549736461274e-11,"19","Ncf1",0.3,0.234465253637023
"Gsn3",4.42590042839982e-15,0.138683809921227,1,0.555,1.58668530358134e-11,"19","Gsn",0.445,0.363085419644122
"Cd1774",4.66928159196365e-15,0.366391400295998,0.989,0.427,1.67393745071897e-11,"19","Cd177",0.562,0.47905794135798
"Junb3",8.0155856481963e-15,0.270314697549579,1,0.926,2.87358745487837e-11,"19","Junb",0.074,0.0543922968186277
"Ifitm34",8.5558395741639e-15,0.419653205971943,1,0.991,3.06726848733776e-11,"19","Ifitm3",0.00900000000000001,0.00650677894158448
"Lst13",9.41948938602443e-15,0.150922743441921,1,0.882,3.37688694488976e-11,"19","Lst1",0.118,0.0877333719335502
"Cnn27",1.41925073766032e-14,0.276895799484485,1,0.942,5.08801389451225e-11,"19","Cnn2",0.0580000000000001,0.0424567992428949
"Sat12",1.5337494819081e-14,0.179819044999874,1,0.857,5.49849189264053e-11,"19","Sat1",0.143,0.107026184726666
"Plbd13",1.95364414540148e-14,0.211318474934452,0.989,0.323,7.0038142612643e-11,"19","Plbd1",0.666,0.588230214555067
"Fcgr33",2.29761225988799e-14,0.181924935913536,1,0.62,8.23693995169844e-11,"19","Fcgr3",0.38,0.3040061868901
"Igha1",2.69905431848049e-14,0.155252647105568,1,0.508,9.67610973175256e-11,"19","Igha",0.492,0.407363571393423
"Hp6",2.86262976744175e-14,0.468818984418274,1,0.894,1.02625277162787e-10,"19","Hp",0.106,0.078563669193702
"Gsr7",3.28558332247592e-14,0.24203620111116,1,0.773,1.17788162110762e-10,"19","Gsr",0.227,0.173807463763398
"Fcer1g5",4.27810009418338e-14,0.48917599363399,1,0.995,1.53369888376474e-10,"19","Fcer1g",0.005,0.00361125355237883
"Actb5",4.5074804474357e-14,0.48957750368593,1,1,1.6159317404057e-10,"19","Actb",0,0
"Btg24",6.04719807113638e-14,0.147166033489411,1,0.868,2.16792050850239e-10,"19","Btg2",0.132,0.0985055449524253
"AA4671972",7.04850688493656e-14,0.122277376413361,0.933,0.314,2.52688971824976e-10,"19","AA467197",0.619,0.556876361888906
"Ckap43",1.09081543981909e-13,0.126043884530342,0.956,0.558,3.91057335175145e-10,"19","Ckap4",0.398,0.328211136890564
"Anxa16",1.1178953564511e-13,0.627694485655916,0.978,0.804,4.00765485287718e-10,"19","Anxa1",0.174,0.13284308750373
"Rgs22",2.201561334416e-13,0.151658539141161,1,0.922,7.89259738388135e-10,"19","Rgs2",0.078,0.0573916638883365
"Ltf5",2.32964635898767e-13,0.81597534921679,1,0.887,8.35178219697079e-10,"19","Ltf",0.113,0.0839055770616417
"Tmsb4x9",3.09210766671807e-13,0.733554236841362,1,1,1.10852059851843e-09,"19","Tmsb4x",0,0
"Ngp5",4.31011593548648e-13,1.06267237969392,1,0.987,1.5451765628719e-09,"19","Ngp",0.013,0.00940812741241696
"Msrb16",4.79635283834026e-13,0.263202692953429,1,0.902,1.71949249254498e-09,"19","Msrb1",0.098,0.0724827538015235
"Adpgk4",4.95800231350915e-13,0.162355382191181,0.922,0.415,1.77744382939303e-09,"19","Adpgk",0.507,0.441806283054506
"Chil12",5.01449005178246e-13,0.103701319943425,0.978,0.283,1.79769468356401e-09,"19","Chil1",0.695,0.624521255669428
"Cd95",5.39224478518829e-13,0.18955658246226,1,0.679,1.93311975549e-09,"19","Cd9",0.321,0.252397769725057
"Igkc2",5.54363979948928e-12,0.318581102605003,0.989,0.875,1.98739486811691e-08,"19","Igkc",0.114,0.0851526805631383
