"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"Zeb2",4.10202040372366e-15,0.156135567910374,1,0.773,1.47057431473493e-11,"38","Zeb2",0.227,0.173807463763398
"Dapp17",7.05472205836615e-15,0.255662251192282,1,0.923,2.52911785792427e-11,"38","Dapp1",0.077,0.0566412373221898
"Meis13",7.9506632588039e-15,0.190571037640746,1,0.416,2.8503127782812e-11,"38","Meis1",0.584,0.49817873457909
"Serpina3g5",1.44348679743576e-14,0.26612673297297,1,0.611,5.17490016880719e-11,"38","Serpina3g",0.389,0.312043505955518
"H2-Q71",2.75443517525805e-14,0.15010839472986,1,0.671,9.87465010330012e-11,"38","H2-Q7",0.329,0.259288266600899
"Cited21",5.49510685192605e-14,0.141377883240981,1,0.806,1.96999580641549e-10,"38","Cited2",0.194,0.147202107181229
"H1f03",1.12733816654317e-13,0.147174687532341,1,0.616,4.04150732705727e-10,"38","H1f0",0.384,0.307572801910292
"Gata22",1.85748528273306e-13,0.188246009111765,1,0.539,6.659084738598e-10,"38","Gata2",0.461,0.378006768333877
"Cd912",2.83779094694521e-13,0.328227006318036,1,0.677,1.01734805447986e-09,"38","Cd9",0.323,0.254117311097741
"Angpt13",2.86453684464754e-13,0.148215178714993,1,0.506,1.02693645880614e-09,"38","Angpt1",0.494,0.409278229990159
"Mef2c5",3.94805445604811e-13,0.305754095995111,1,0.77,1.41537752249325e-09,"38","Mef2c",0.23,0.176250639691727
"Jpt13",6.93493265860616e-13,0.105283759437741,0.984,0.659,2.48617335811031e-09,"38","Jpt1",0.325,0.258098139431012
"Muc132",8.8887105521948e-13,0.124563212320359,1,0.632,3.18660273296184e-09,"38","Muc13",0.368,0.293358942690591
"Lims11",1.15485060574537e-12,0.126228999793277,1,0.76,4.14013942159715e-09,"38","Lims1",0.24,0.184424571137428
"Ctla2a6",1.22416690540068e-12,0.346913605570463,1,0.787,4.38863835586143e-09,"38","Ctla2a",0.213,0.162460365620596
"Elf12",1.98214379024071e-12,0.143027858943953,1,0.964,7.10598548801295e-09,"38","Elf1",0.036,0.0262050703473939
