"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"Rgcc",9.59346703421532e-17,0.314243451828337,1,0.459,3.43925793176619e-13,"1","Rgcc",0.541,0.455020116744196
"Prss57",5.11689807961943e-16,0.303070452600021,1,0.49,1.83440796154356e-12,"1","Prss57",0.51,0.424687669312563
"Vat1",7.09944510940308e-16,0.10438923489371,0.992,0.387,2.545151071721e-12,"1","Vat1",0.605,0.522249859744478
"Ms4a3",8.64692018177798e-16,0.830244179399641,1,0.828,3.09992088516741e-12,"1","Ms4a3",0.172,0.129733929604018
"S100a1",9.28529824756823e-16,0.119106786701231,1,0.765,3.32877942175321e-12,"1","S100a1",0.235,0.180331816503544
"Cd63",1.2708190436997e-15,0.736581678915986,1,0.843,4.55588627166341e-12,"1","Cd63",0.157,0.117943929031374
"Clec12a",1.64124934631378e-15,0.457773678512609,1,0.726,5.8838789065349e-12,"1","Clec12a",0.274,0.212567535483132
"Atp6ap2",1.86862645570983e-15,0.184183886359974,1,0.9,6.69902584371975e-12,"1","Atp6ap2",0.1,0.0740005814437768
"Tmed3",2.62717448660615e-15,0.301779040892185,1,0.979,9.41842053448304e-12,"1","Tmed3",0.021,0.015228387614575
"Gstm1",2.75036304817456e-15,0.538420521335593,1,0.848,9.8600515277058e-12,"1","Gstm1",0.152,0.114035243246029
"Ptgr1",3.42241001157591e-15,0.145858178147608,1,0.451,1.22693398914996e-11,"1","Ptgr1",0.549,0.462952480595343
"Nkg7",3.7506685384402e-15,0.643011333089268,1,0.924,1.34461467103081e-11,"1","Nkg7",0.076,0.0558912008920452
"Rnaset2b",4.53247842942429e-15,0.151548445456231,0.992,0.793,1.62489351694861e-11,"1","Rnaset2b",0.199,0.151842159199706
"Elane",5.53168440587299e-15,1.74046674814531,1,0.968,1.98310885950547e-11,"1","Elane",0.032,0.0232697793228473
"Rnaset2a",8.37752528070821e-15,0.156633765071439,0.984,0.699,3.0033428131339e-11,"1","Rnaset2a",0.285,0.223726173202655
"Lta4h",1.41617809129499e-14,0.473154965167886,1,0.91,5.07699845729254e-11,"1","Lta4h",0.09,0.066427361738976
"Alas1",1.46570402750106e-14,0.172111499222331,1,0.463,5.2545489385913e-11,"1","Alas1",0.537,0.4510702305236
"Serpinb1a",2.0248934518964e-14,0.65264637148497,1,0.904,7.25924302504858e-11,"1","Serpinb1a",0.096,0.0709665213541436
"Med21",2.24863674629244e-14,0.107175513420669,1,0.952,8.0613627354584e-11,"1","Med21",0.048,0.0350469470992006
"Mgst2",2.32468885753383e-14,0.210854582513649,0.992,0.433,8.33400955425879e-11,"1","Mgst2",0.559,0.475179037805935
"Fcnb",2.52799666490429e-14,0.671553611675326,1,0.526,9.06286804368189e-11,"1","Fcnb",0.474,0.390245037827556
"Cebpe",2.65123428155301e-14,0.282998297002024,1,0.405,9.50467489936753e-11,"1","Cebpe",0.595,0.509429869553799
"Adssl1",2.89874588367759e-14,0.126539702798317,1,0.728,1.03920039929842e-10,"1","Adssl1",0.272,0.210896782498619
"Hsd11b1",3.39374570031796e-14,0.177430482473107,1,0.296,1.21665783356399e-10,"1","Hsd11b1",0.704,0.625934281777462
"Cst7",4.77983604696808e-14,0.289208683141058,1,0.843,1.71357122283806e-10,"1","Cst7",0.157,0.117943929031374
"Anxa3",4.98460855959714e-14,0.227587822598098,1,0.605,1.78698216861557e-10,"1","Anxa3",0.395,0.317426702652421
"Gatm",5.84346634690701e-14,0.102724412049371,0.992,0.558,2.09488268536616e-10,"1","Gatm",0.434,0.354522414006412
"Tuba4a",1.39037543894016e-13,0.359657449064804,1,0.984,4.98449594860048e-10,"1","Tuba4a",0.016,0.0115879742752118
"Ffar2",1.52104394617546e-13,0.120495465069048,0.984,0.295,5.45294254703901e-10,"1","Ffar2",0.689,0.615459927812959
"Ap3s1",1.91914089438188e-13,0.325425873333505,1,0.896,6.88012010635904e-10,"1","Ap3s1",0.104,0.0770410357638279
"Igsf6",1.94272633955736e-13,0.243881081466901,1,0.517,6.96467392731313e-10,"1","Igsf6",0.483,0.398778914415054
"Kdelr2",2.16058918199031e-13,0.110721551049672,1,0.761,7.74571221743527e-10,"1","Kdelr2",0.239,0.183605090830879
"1810037I17Rik",3.98493075202488e-13,0.25109915026376,1,0.976,1.42859767460092e-09,"1","1810037I17Rik",0.024,0.0174170530774094
"Xbp1",7.5780710002409e-13,0.12234259300457,1,0.865,2.71673845358636e-09,"1","Xbp1",0.135,0.100824369519487
"Hmgn2",1.12330549246196e-12,0.598996393762665,1,0.986,4.02705019047614e-09,"1","Hmgn2",0.014,0.0101343771337131
"Ly6c2",1.37054664073915e-12,0.7944488797646,1,0.992,4.91340970704986e-09,"1","Ly6c2",0.00800000000000001,0.00578235259400618
"Trem3",1.97862543861828e-12,0.234548752959919,1,0.377,7.09337219744654e-09,"1","Trem3",0.623,0.538471440527123
"Rasgrp2",2.66298054526213e-12,0.148581223358294,1,0.942,9.54678525476475e-09,"1","Rasgrp2",0.0580000000000001,0.0424567992428949
"Prtn3",2.7374229853058e-12,1.24110716739267,1,0.909,9.81366140232129e-09,"1","Prtn3",0.091,0.0671828972581493
"Srgn",3.3347662370583e-12,0.637598391196266,1,0.995,1.1955136959854e-08,"1","Srgn",0.005,0.00361125355237883
"Msrb1",6.2505496676289e-12,0.289407199575452,0.992,0.901,2.24082205584496e-08,"1","Msrb1",0.091,0.0674591154195287
"Gsr",1.12578433129413e-11,0.270199669294453,1,0.771,4.03593682768947e-08,"1","Gsr",0.229,0.175435787910173
"Clec4a2",1.15166150757203e-11,0.208411149885084,1,0.414,4.12870650464574e-08,"1","Clec4a2",0.586,0.500217879852688
"S100a11",1.92878387654507e-11,0.622283747914547,1,0.978,6.91469019741408e-08,"1","S100a11",0.022,0.0159575739029763
"Ltb4r1",1.95377125938375e-11,0.201913293217574,1,0.425,7.00426996489073e-08,"1","Ltb4r1",0.575,0.489038080722621
"P4hb",2.49811155801177e-11,0.239534520879107,1,0.977,8.95572993547218e-08,"1","P4hb",0.023,0.0166871289328792
"Dstn",2.5898674939625e-11,0.237678335825303,1,0.807,9.28467496585555e-08,"1","Dstn",0.193,0.146403493797488
"Mpo",4.38138514155235e-11,1.21414981268708,1,0.964,1.57072657324652e-07,"1","Mpo",0.036,0.0262050703473939
"Rnaseh2c",5.51017575958916e-11,0.11333502630509,1,0.988,1.97539800981271e-07,"1","Rnaseh2c",0.012,0.00868224309980077
"C3",7.76509639478611e-11,0.145335234643408,0.992,0.336,2.78378705753082e-07,"1","C3",0.656,0.576297639594029
"Spi1",9.0785756519968e-11,0.154409041209312,1,0.828,3.25466937124085e-07,"1","Spi1",0.172,0.129733929604018
"Ctsg",9.96058967877185e-11,0.944507046980472,1,0.895,3.57087139983971e-07,"1","Ctsg",0.105,0.077802151603633
"Pkm",1.37629982820824e-10,0.265555874946173,1,0.934,4.93403488412654e-07,"1","Pkm",0.0659999999999999,0.0484122051852456
"Wfdc21",4.07866611118326e-10,0.551462395337901,1,0.752,1.4622018008592e-06,"1","Wfdc21",0.248,0.190997225060914
"Ncf4",4.88821287232628e-10,0.157212895085693,1,0.764,1.75242431472897e-06,"1","Ncf4",0.236,0.181149439104566
"Hp",4.9929319867893e-10,0.524399743945697,1,0.894,1.78996611726396e-06,"1","Hp",0.106,0.078563669193702
"Camp",1.72500963253914e-09,0.720815231699339,1,0.986,6.18415953265282e-06,"1","Camp",0.014,0.0101343771337131
"Dbi",1.79864197649082e-09,0.241911514937375,1,0.995,6.44813148571957e-06,"1","Dbi",0.005,0.00361125355237883
"Pglyrp1",1.9934086294575e-09,0.518468753284509,1,0.921,7.14636993660513e-06,"1","Pglyrp1",0.079,0.0581424809965599
"Fcgr3",3.25316301203323e-09,0.166757578294692,0.992,0.618,1.16625893981391e-05,"1","Fcgr3",0.374,0.300006039638103
"Mt1",5.37184857249761e-09,0.167077128588291,1,0.816,1.92580771324039e-05,"1","Mt1",0.184,0.139235797371172
"Ncf1",5.7511262015232e-09,0.170264408367491,1,0.698,2.06177874324607e-05,"1","Ncf1",0.302,0.236163541109048
"Ngp",6.31940400009563e-09,0.467828827458463,1,0.987,2.26550633403428e-05,"1","Ngp",0.013,0.00940812741241696
"S100a9",9.91196598976761e-09,0.648626543360942,1,1,3.55343980733169e-05,"1","S100a9",0,0
"S100a8",1.11953831855683e-08,0.73506144070168,1,1,4.01354487202624e-05,"1","S100a8",0,0
"Etfb",1.14129431546464e-08,0.181879598788047,1,0.996,4.09154012094073e-05,"1","Etfb",0.004,0.00288827932482635
"Ifngr1",1.45196438868743e-08,0.117141651822892,1,0.913,5.20529233344445e-05,"1","Ifngr1",0.087,0.0641631263159748
"Tmsb4x",1.45513656884716e-08,0.808781413275401,1,1,5.21666459931708e-05,"1","Tmsb4x",0,0
"Sdf2l1",1.62954672355509e-08,0.135675357868236,1,0.703,5.84192500394498e-05,"1","Sdf2l1",0.297,0.231921564983545
"Manf",1.77350384881782e-08,0.146319942189541,1,0.951,6.35801129801187e-05,"1","Manf",0.049,0.0357862220530607
"Anxa1",1.90382566637175e-08,0.33318642432323,1,0.803,6.82521501394274e-05,"1","Anxa1",0.197,0.149600603229746
"Cyba",2.21340683207944e-08,0.374837724569653,1,0.997,7.9350634930048e-05,"1","Cyba",0.003,0.00216566721811454
"Napsa",4.14807874231613e-08,0.166503932356973,1,0.888,0.000148708622912033,"1","Napsa",0.112,0.0831412353002459
"Chil3",9.86145254475805e-08,0.395695768673954,0.984,0.891,0.000353533073729576,"1","Chil3",0.093,0.0692626624371138
"Cnn2",4.18515929467473e-07,0.157002293557029,1,0.941,0.00150037960714089,"1","Cnn2",0.0590000000000001,0.0431998819484235
"Ssr4",4.33985043462102e-07,0.182121786493921,1,0.994,0.00155583638081164,"1","Ssr4",0.00600000000000001,0.00433459026389112
"Ltf",4.83276992392683e-07,0.163857100910462,0.984,0.887,0.00173254801772777,"1","Ltf",0.097,0.0723176027864298
"Lcn2",9.34287715563252e-07,0.183498708687909,1,0.982,0.00334942146029426,"1","Lcn2",0.018,0.0130430374755988
"Sec61b",9.84189360574123e-07,0.252043609159138,1,1,0.00352831885765823,"1","Sec61b",0,0
"Cybb",9.9015229992647e-07,0.177181261060205,0.984,0.599,0.00354969599523639,"1","Cybb",0.385,0.311242086906543
"Igfbp4",5.71472670382343e-06,0.136408734075541,1,0.943,0.020487295233207,"1","Igfbp4",0.0570000000000001,0.0417140990767425
"Cox7a2",5.723582523063e-06,0.11749451191751,1,0.999,0.0205190433451808,"1","Cox7a2",0.001,0.000721527917459226
"Hspa5",1.09030836940732e-05,0.16171032219154,1,0.989,0.0390875550432524,"1","Hspa5",0.011,0.00795672382834308
"Alox5ap",1.21845115213041e-05,0.164202355216497,1,0.97,0.0436814738038752,"1","Alox5ap",0.03,0.0218043703183483
"Spcs2",1.64100274174182e-05,0.115778322741913,1,0.996,0.0588299482914441,"1","Spcs2",0.004,0.00288827932482635
"Calr",6.01301509328776e-05,0.269464316394732,1,0.989,0.215566591094366,"1","Calr",0.011,0.00795672382834308
"Limd2",9.94191636263155e-05,0.144613343284186,1,0.982,0.356417701600341,"1","Limd2",0.018,0.0130430374755988
"Pdia3",0.000131928964668554,0.10773998773299,1,0.983,0.472965338336765,"1","Pdia3",0.017,0.012315322433239
"Plac8",0.000160400287287353,0.579114476439037,1,0.975,0.575035029925162,"1","Plac8",0.025,0.0181473467102592
"Ssr2",0.000265268768964304,0.103871512976389,1,0.986,0.950988536737031,"1","Ssr2",0.014,0.0101343771337131
"Krtcap2",0.000399840661785814,0.127849650819769,1,0.993,1,"1","Krtcap2",0.00700000000000001,0.00505828982302899
"Pdia6",0.000970813656620251,0.116497345861007,1,0.971,1,"1","Pdia6",0.029,0.0210722236186012
"Cox5a",0.00220536007535748,0.101249222165221,1,0.999,1,"1","Cox5a",0.001,0.000721527917459226
"Svip",3.14498002250063e-18,0.112770027972966,1,0.343,1.12747533806648e-14,"9","Svip",0.657,0.574540695234645
"Atp8b4",7.95780072895452e-18,0.125176609928919,1,0.44,2.8528715613302e-14,"9","Atp8b4",0.56,0.473931188332412
"Rgcc1",8.57884407072893e-18,0.371700956957385,1,0.456,3.07551559935632e-14,"9","Rgcc",0.544,0.457989644463391
"Prss571",8.64458816240149e-18,0.386167612722137,1,0.487,3.09908485622093e-14,"9","Prss57",0.513,0.427595352609668
"Alas11",9.37777423937813e-18,0.241084222209278,1,0.46,3.36193206481706e-14,"9","Alas1",0.54,0.454031630894707
"Vat11",9.86809505970993e-18,0.14334369555737,1,0.384,3.53771207890601e-14,"9","Vat1",0.616,0.531156057025363
"Ms4a31",1.13535756845361e-17,1.05523983956262,1,0.827,4.07025688290621e-14,"9","Ms4a3",0.173,0.130523366034599
"Elane1",1.21120078632891e-17,2.39228307366771,1,0.968,4.34215481898914e-14,"9","Elane",0.032,0.0232697793228473
"Ptgr11",1.49232549488121e-17,0.166514771306589,1,0.448,5.34998689914915e-14,"9","Ptgr1",0.552,0.465938397578882
"Gstm11",1.50761170312698e-17,0.714721618603481,1,0.848,5.40478795571021e-14,"9","Gstm1",0.152,0.114035243246029
"Cst71",1.61718069811392e-17,0.423457417861132,1,0.843,5.7975928027384e-14,"9","Cst7",0.157,0.117943929031374
"Tmed31",1.72922231075204e-17,0.356500356238306,1,0.979,6.19926198404605e-14,"9","Tmed3",0.021,0.015228387614575
"Adssl11",1.90641523283228e-17,0.155186407489329,1,0.727,6.83449860970373e-14,"9","Adssl1",0.273,0.211731917133163
"Ap3s11",2.05834115947762e-17,0.440092724106396,1,0.896,7.37915305672725e-14,"9","Ap3s1",0.104,0.0770410357638279
"Prtn31",2.05969541818378e-17,1.88032857306889,1,0.909,7.38400807418886e-14,"9","Prtn3",0.091,0.0671828972581493
"Med211",2.18123451640258e-17,0.150543415694861,1,0.952,7.81972574130326e-14,"9","Med21",0.048,0.0350469470992006
"Ctsg1",2.32504487832311e-17,1.55022244959985,1,0.894,8.33528588878836e-14,"9","Ctsg",0.106,0.078563669193702
"Nkg71",2.32860365148638e-17,0.854418798757667,1,0.923,8.34804409057867e-14,"9","Nkg7",0.077,0.0566412373221898
"Srgn1",2.32962138932995e-17,1.00890379896895,1,0.995,8.35169268074788e-14,"9","Srgn",0.005,0.00361125355237883
"Atp6ap21",2.60127780177247e-17,0.228290936492399,1,0.9,9.32558091935429e-14,"9","Atp6ap2",0.1,0.0740005814437768
"Mpo1",2.78321058173524e-17,1.99308849734809,1,0.964,9.97780993552082e-14,"9","Mpo",0.036,0.0262050703473939
"Xbp11",3.74274503243606e-17,0.158558776550217,1,0.864,1.34177409412833e-13,"9","Xbp1",0.136,0.101598140007807
"Clec12a1",3.94524585276861e-17,0.508444295964031,1,0.725,1.41437063821755e-13,"9","Clec12a",0.275,0.213403638109193
"Rasgrp21",4.99832147917658e-17,0.195088422422244,1,0.942,1.7918982502848e-13,"9","Rasgrp2",0.0580000000000001,0.0424567992428949
"Cd631",5.27397410630622e-17,0.760891033601019,1,0.842,1.89071971711078e-13,"9","Cd63",0.158,0.118726938570752
"Dbi1",5.30561863821398e-17,0.373678054487982,1,0.995,1.90206428179971e-13,"9","Dbi",0.005,0.00361125355237883
"Anxa31",6.37996642621184e-17,0.255532760111333,1,0.603,2.28721796379694e-13,"9","Anxa3",0.397,0.319225574507539
"Rnaset2b1",7.17602232661802e-17,0.177114364476357,1,0.791,2.57260400409256e-13,"9","Rnaset2b",0.209,0.159234662676126
"Selenos",7.49986902077177e-17,0.103501873202005,1,0.688,2.68870304394668e-13,"9","Selenos",0.312,0.244685095954902
"Rnaset2a1",7.53601364732284e-17,0.180487216808805,1,0.698,2.70166089256524e-13,"9","Rnaset2a",0.302,0.236163541109048
"P4hb1",8.7139490333926e-17,0.371967075559347,1,0.977,3.12395072847125e-13,"9","P4hb",0.023,0.0166871289328792
"Tuba4a1",1.30813894686224e-16,0.37173942701561,1,0.984,4.68967812450115e-13,"9","Tuba4a",0.016,0.0115879742752118
"Gatm1",1.60077494621671e-16,0.141985195615283,1,0.556,5.73877818218689e-13,"9","Gatm",0.444,0.362157939675895
"Sdf2l11",1.83274325749619e-16,0.256062276728542,1,0.702,6.57038457812385e-13,"9","Sdf2l1",0.298,0.232768962976124
"Manf1",1.95442876626121e-16,0.281435065351892,1,0.951,7.00662712704645e-13,"9","Manf",0.049,0.0357862220530607
"Spcs21",1.95805382252525e-16,0.248621798682044,1,0.996,7.01962295375302e-13,"9","Spcs2",0.004,0.00288827932482635
"Ssr41",1.95886025036314e-16,0.36091328999354,1,0.994,7.02251399755187e-13,"9","Ssr4",0.00600000000000001,0.00433459026389112
"S100a12",2.01753943446303e-16,0.136374430789083,1,0.764,7.23287887254998e-13,"9","S100a1",0.236,0.181149439104566
"Sec61b1",2.46565850185041e-16,0.481476129217158,1,1,8.83938572913371e-13,"9","Sec61b",0,0
"Gng12",2.75369202338915e-16,0.15225527335599,1,0.978,9.87198590385011e-13,"9","Gng12",0.022,0.0159575739029763
"Lta4h1",3.27553525181672e-16,0.433998343592154,1,0.91,1.17427938777629e-12,"9","Lta4h",0.09,0.066427361738976
"Ssr21",3.3765268519517e-16,0.258716480552883,1,0.986,1.21048487642469e-12,"9","Ssr2",0.014,0.0101343771337131
"Mfsd10",4.2444346718848e-16,0.113888180716394,1,0.879,1.5216298298707e-12,"9","Mfsd10",0.121,0.0900349332420316
"Plac81",6.31278255753104e-16,1.09888297647807,1,0.975,2.26313254687488e-12,"9","Plac8",0.025,0.0181473467102592
"Kdelr21",6.93536383024597e-16,0.134401059407955,1,0.76,2.48632793314318e-12,"9","Kdelr2",0.24,0.184424571137428
"Ly6c21",8.8556107174656e-16,0.812701045250967,1,0.992,3.17473644221142e-12,"9","Ly6c2",0.00800000000000001,0.00578235259400618
"Pkm1",1.22503233492855e-15,0.307739569235698,1,0.933,4.39174092071884e-12,"9","Pkm",0.0669999999999999,0.0491583624508513
"Hspa51",1.23993530109095e-15,0.406424361238529,1,0.989,4.44516805441107e-12,"9","Hspa5",0.011,0.00795672382834308
"Etfb1",1.30977987629459e-15,0.325827208512101,1,0.996,4.69556085651609e-12,"9","Etfb",0.004,0.00288827932482635
"Calr1",1.64019622636552e-15,0.67317558033896,1,0.989,5.88010347152038e-12,"9","Calr",0.011,0.00795672382834308
"Igsf61",2.37142868419737e-15,0.224701016756581,1,0.514,8.50157183284756e-12,"9","Igsf6",0.486,0.401634794676355
"Serpinb1a1",2.81194569014787e-15,0.569110546420296,1,0.903,1.00808252991801e-11,"9","Serpinb1a",0.097,0.0717244383880653
"Ddost",2.85395679806138e-15,0.198051772495134,1,0.98,1.023143512105e-11,"9","Ddost",0.02,0.0144995696951152
"Tmed9",2.93004112793851e-15,0.165567787909094,1,0.995,1.05041974436596e-11,"9","Tmed9",0.005,0.00361125355237883
"B4galnt1",4.21692051018818e-15,0.120525212280498,1,0.71,1.51176600290246e-11,"9","B4galnt1",0.29,0.226003674888827
"Fcgr31",4.58483686792758e-15,0.219745427522808,1,0.616,1.64366401715204e-11,"9","Fcgr3",0.384,0.307572801910292
"Pdia61",5.66926606650287e-15,0.321330041302357,1,0.971,2.03243188484128e-11,"9","Pdia6",0.029,0.0210722236186012
"Napsa1",5.79728188573519e-15,0.204181562929118,1,0.888,2.07832555603607e-11,"9","Napsa",0.112,0.0831412353002459
"Ostc",6.31597588557976e-15,0.134691310894921,1,0.989,2.26427735498034e-11,"9","Ostc",0.011,0.00795672382834308
"Krtcap21",7.4580890471291e-15,0.294150687747442,1,0.993,2.67372492339578e-11,"9","Krtcap2",0.00700000000000001,0.00505828982302899
"Mgst21",7.68959516591283e-15,0.176410350647007,1,0.43,2.75671986697975e-11,"9","Mgst2",0.57,0.483984852996335
"Spi11",9.83620063293768e-15,0.175163117264463,1,0.828,3.52627792690816e-11,"9","Spi1",0.172,0.129733929604018
"Pdia31",1.35399294919302e-14,0.256708247523617,1,0.983,4.85406472285697e-11,"9","Pdia3",0.017,0.012315322433239
"Igfbp41",2.07729424596767e-14,0.237224044502917,1,0.943,7.44709987179409e-11,"9","Igfbp4",0.0570000000000001,0.0417140990767425
"Fcnb1",2.17806598466649e-14,0.450947600147234,1,0.523,7.80836655502938e-11,"9","Fcnb",0.477,0.393084058174795
"Cmtm7",2.19784141317673e-14,0.361689801481035,1,0.998,7.87926146623856e-11,"9","Cmtm7",0.002,0.00144341686966884
"Msrb11",3.01767722596943e-14,0.328115857371741,1,0.901,1.08183728551004e-10,"9","Msrb1",0.099,0.073241468013535
"Hsp90b1",5.70450481950194e-14,0.261641623622778,1,0.973,2.04506497779145e-10,"9","Hsp90b1",0.027,0.0196090439385284
"1810037I17Rik1",7.04400495390631e-14,0.189052686598259,1,0.976,2.52527577597541e-10,"9","1810037I17Rik",0.024,0.0174170530774094
"Fkbp2",7.81390411589186e-14,0.109933112352335,1,0.966,2.80128462554723e-10,"9","Fkbp2",0.034,0.0247366783215065
"Cebpe1",1.27849380680901e-13,0.206494351300184,1,0.402,4.58340029741029e-10,"9","Cebpe",0.598,0.512513650651464
"Hsd11b11",2.04021294194043e-13,0.121150882550738,0.994,0.293,7.31416339685643e-10,"9","Hsd11b1",0.701,0.624943134587942
"Ifngr11",3.15170319156755e-13,0.177306808416757,1,0.913,1.12988559417697e-09,"9","Ifngr1",0.087,0.0641631263159748
"Gsr1",3.59916926001762e-13,0.285496450593701,1,0.77,1.29030217971632e-09,"9","Gsr",0.23,0.176250639691727
"Rpn1",5.97417803921573e-13,0.156457100203292,1,0.975,2.14174282705884e-09,"9","Rpn1",0.025,0.0181473467102592
"Rnaseh2c1",1.50837591306563e-12,0.100016711495076,1,0.988,5.40752764834028e-09,"9","Rnaseh2c",0.012,0.00868224309980077
"Trem31",1.07128451225159e-11,0.180312415408361,1,0.374,3.84055497642197e-08,"9","Trem3",0.626,0.541617995843987
"Mt11",1.07761285193486e-11,0.300677674588218,1,0.816,3.86324207418646e-08,"9","Mt1",0.184,0.139235797371172
"Ssr1",1.14193732730659e-11,0.124529730569034,1,0.952,4.09384531839413e-08,"9","Ssr1",0.048,0.0350469470992006
"Hexa",1.55641146006234e-11,0.132465323600202,1,0.942,5.57973508432347e-08,"9","Hexa",0.0580000000000001,0.0424567992428949
"Hmgn21",1.59689030070692e-11,0.390678668888406,1,0.986,5.72485172803431e-08,"9","Hmgn2",0.014,0.0101343771337131
"Mrpl33",3.38596351012832e-11,0.148183127275106,1,0.996,1.213867918381e-07,"9","Mrpl33",0.004,0.00288827932482635
"Dstn1",7.24665990392535e-11,0.191399840263935,1,0.806,2.59792757555724e-07,"9","Dstn",0.194,0.147202107181229
"Rpl36al",1.80552606668457e-10,0.245035905908811,1,0.999,6.47281094906418e-07,"9","Rpl36al",0.001,0.000721527917459226
"Ltb4r11",2.99292510696314e-10,0.130887139747367,1,0.422,1.07296365084629e-06,"9","Ltb4r1",0.578,0.492078535042672
"Cox5a1",3.6055831587718e-10,0.188331882482643,1,0.999,1.29260156241969e-06,"9","Cox5a",0.001,0.000721527917459226
"Uqcrc1",6.52040284986261e-10,0.101631289803364,1,0.994,2.33756442167575e-06,"9","Uqcrc1",0.00600000000000001,0.00433459026389112
"S100a111",7.78047159948613e-10,0.595149726144007,1,0.978,2.78929906841578e-06,"9","S100a11",0.022,0.0159575739029763
"Cox7a21",8.45876691976849e-10,0.145134775070776,1,0.999,3.032467940737e-06,"9","Cox7a2",0.001,0.000721527917459226
"Clec4a21",1.13614354253587e-09,0.121330843111742,1,0.411,4.07307459999109e-06,"9","Clec4a2",0.589,0.503282012064823
"Ramp1",4.17059356900094e-09,0.221250366269855,1,0.951,1.49515779448684e-05,"9","Ramp1",0.049,0.0357862220530607
"Pgam1",5.19318297509745e-09,0.150694822462415,1,0.819,1.86175609657243e-05,"9","Pgam1",0.181,0.136854457010601
"Bola2",5.22411088286168e-09,0.14006811233749,1,0.982,1.87284375150591e-05,"9","Bola2",0.018,0.0130430374755988
"Limd21",6.85183323266729e-09,0.139676531057327,1,0.981,2.45638221391122e-05,"9","Limd2",0.019,0.0137711197726006
"Selenoh",2.25257402406603e-08,0.110804165517407,1,0.966,8.0754778762767e-05,"9","Selenoh",0.034,0.0247366783215065
"Hp1",3.99045783389495e-08,0.392385492299326,1,0.893,0.000143057913345134,"9","Hp",0.107,0.079325588958382
"Rps29",1.21560419296592e-07,0.326196319041618,1,1,0.000435794103178281,"9","Rps29",0,0
"Gsto1",3.819505474545e-07,0.107093814086319,1,0.968,0.00136929271262438,"9","Gsto1",0.032,0.0232697793228473
"Pglyrp11",3.8241012708866e-07,0.253399086054685,1,0.921,0.00137094030561285,"9","Pglyrp1",0.079,0.0581424809965599
"Tmsb4x1",7.04394753584158e-07,0.537429878367158,1,1,0.00252525519159921,"9","Tmsb4x",0,0
"Cyba1",1.46826938663543e-06,0.176938236759325,1,0.997,0.00526374575108803,"9","Cyba",0.003,0.00216566721811454
"Tpi1",1.59902866929715e-06,0.112857561075992,1,0.995,0.00573251777943029,"9","Tpi1",0.005,0.00361125355237883
"Wfdc211",2.1456859714332e-06,0.212496711481759,1,0.751,0.00769228420758801,"9","Wfdc21",0.249,0.191820916228529
"Rps25",1.69380366312757e-05,0.244312108875746,1,1,0.0607228613231234,"9","Rps25",0,0
"Cox6b1",2.89716026931621e-05,0.116315536203484,1,1,0.103863195654986,"9","Cox6b1",0,0
"Cox7b",8.75232114079513e-05,0.121422253268426,1,0.998,0.313770712897505,"9","Cox7b",0.002,0.00144341686966884
"Eif5a",0.00011631167734427,0.209979263770623,1,0.999,0.416977363279207,"9","Eif5a",0.001,0.000721527917459226
"Rpl22l1",0.000248083614413406,0.124197220353015,1,1,0.889379757672059,"9","Rpl22l1",0,0
"Rps27a",0.000473561064691401,0.222619308956422,1,1,1,"9","Rps27a",0,0
"Rps12",0.000694273460454304,0.256050588850671,1,1,1,"9","Rps12",0,0
"Rps17",0.00150006615967944,0.206550755824851,1,1,1,"9","Rps17",0,0
"Rpl10",0.00233692297175872,0.181758640507718,1,1,1,"9","Rpl10",0,0
"Rpl27",0.0025309962634106,0.155533827351273,1,1,1,"9","Rpl27",0,0
"Rplp2",0.00324216167990134,0.207854787702751,1,1,1,"9","Rplp2",0,0
"Rpl36a",0.00350477783258032,0.189367502247425,1,1,1,"9","Rpl36a",0,0
"Rps21",0.00362192283469774,0.184064331472018,1,0.999,1,"9","Rps21",0.001,0.000721527917459226
"Eif4a1",0.00399825554650927,0.106320120985979,1,1,1,"9","Eif4a1",0,0
"Ybx1",0.00674113689067086,0.111728916174595,1,1,1,"9","Ybx1",0,0
"Hlf",4.61333199304574e-19,0.197190535729213,1,0.186,1.6538795195069e-15,"10","Hlf",0.814,0.753895990116084
"Myct1",6.98348732048715e-19,0.131029110056679,1,0.225,2.50358020439464e-15,"10","Myct1",0.775,0.707218250772154
"Mpl",2.91436260392944e-18,0.132478842313194,0.992,0.153,1.0447989935087e-14,"10","Mpl",0.839,0.788825134416309
"Meis1",7.19176849373289e-18,0.208624525566095,1,0.416,2.57824900500324e-14,"10","Meis1",0.584,0.49817873457909
"Msi2",9.19236597753171e-18,0.129899438229603,1,0.353,3.29546320294512e-14,"10","Msi2",0.647,0.56383816068555
"Gcnt2",1.80080607018367e-17,0.120724579427713,1,0.279,6.45588976160844e-14,"10","Gcnt2",0.721,0.64498373578045
"Ctla2a",2.77330798090688e-17,0.497104520923162,1,0.787,9.94230911155118e-14,"10","Ctla2a",0.213,0.162460365620596
"Pik3ip1",3.88130769546832e-17,0.108273339454866,0.992,0.42,1.39144880882539e-13,"10","Pik3ip1",0.572,0.488326717676037
"Rab38",4.69550641397231e-17,0.170045065261162,1,0.584,1.68333904940907e-13,"10","Rab38",0.416,0.336427664582477
