"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"1",3.29844648718518e-20,0.189757686972933,1,0.014,1.18249306565589e-16,"16","Skap1",0.986,0.979942347658747
"2",3.30038746632585e-20,0.179065384612929,1,0.01,1.18318890667782e-16,"16","Klre1",0.99,0.98564470702293
"3",3.30330097742994e-20,0.224883498864196,1,0.015,1.18423340040863e-16,"16","Klrk1",0.985,0.978520272589549
"4",3.30427269272659e-20,0.208157372216233,1,0.013,1.18458176034248e-16,"16","Cd3g",0.987,0.981365825860949
"5",3.30718947441911e-20,0.203725834337546,1,0.013,1.18562742657925e-16,"16","Tcf7",0.987,0.981365825860949
"6",3.30718947441911e-20,0.176684275883207,1,0.011,1.18562742657925e-16,"16","Gzma",0.989,0.984217002759073
"7",3.30816228049307e-20,0.212824636712445,1,0.012,1.18597617755677e-16,"16","Klrb1c",0.988,0.982790709967777
"8",4.72476268969223e-20,0.289606216422154,1,0.015,1.69382742425467e-16,"16","Il2rb",0.985,0.978520272589549
"9",1.25536900991481e-19,0.101625423183236,0.993,0.007,4.50049790054459e-16,"16","Sh2d2a",0.986,0.984878026832273
"10",1.2560912757125e-19,0.106362262254719,0.993,0.007,4.50308722342931e-16,"16","Ncr1",0.986,0.984878026832273
"11",1.25645255697082e-19,0.12121954239156,0.993,0.008,4.50438241674038e-16,"16","Xcl1",0.985,0.983446071339141
