"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"1",9.00486139336764e-20,0.215388153552836,1,0.029,3.2282428095223e-16,"25","Hpgd",0.971,0.958757017768119
"2",9.31955586098589e-20,0.344435061903664,1,0.027,3.34106077616344e-16,"25","Sdc3",0.973,0.961563818343892
"3",1.38834641033773e-19,0.306248035429776,1,0.021,4.97722188106076e-16,"25","Maf",0.979,0.970017133784286
"4",3.19342724813454e-19,0.167357561099571,0.982,0.012,1.14484366845623e-15,"25","Itgad",0.97,0.969747672492178
"5",3.30379086916658e-19,0.116553613692364,0.982,0.01,1.18440902659622e-15,"25","Ccr3",0.972,0.972601669547331
"6",3.41982237809332e-19,0.215283203660517,0.982,0.014,1.22600632254645e-15,"25","Cd5l",0.968,0.966899310183148
"7",3.41982237809332e-19,0.185780013014346,0.982,0.013,1.22600632254645e-15,"25","Ms4a7",0.969,0.96832278838535
"8",3.42077414763e-19,0.126488761747484,0.982,0.011,1.22634753192536e-15,"25","Adgre1",0.971,0.971173965283474
"9",3.53495713521142e-19,0.222641798847072,0.982,0.014,1.26728213297329e-15,"25","Igf1",0.968,0.966899310183148
"10",3.5379069928709e-19,0.177671229538503,0.982,0.013,1.26833965694422e-15,"25","Spic",0.969,0.96832278838535
